Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,,Yes,,Graduate,No,13157,4340,102.0,360.0,1.0,Urban,Y
LP000002,Female,Yes,0,Graduate,Yes,35095,3968,147.0,240.0,1.0,Semiurban,Y
LP000003,Female,Yes,0,Not Graduate,Yes,22031,372,150.0,480.0,1.0,Urban,Y
LP000004,,Yes,1,Graduate,No,7018,247,111.0,300.0,1.0,Semiurban,Y
LP000005,Male,Yes,1,Graduate,No,55809,1444,226.0,360.0,1.0,Urban,Y
LP000006,Male,No,2,Graduate,No,3910,2554,208.0,120.0,1.0,Urban,N
LP000007,Male,Yes,3+,Not Graduate,No,16656,300,167.0,300.0,0.0,Urban,N
LP000008,Female,Yes,0,Graduate,No,6916,1575,129.0,360.0,1.0,Rural,Y
LP000009,Female,No,2,Graduate,No,4065,190,197.0,300.0,1.0,Rural,Y
LP000010,Female,No,0,Graduate,No,5391,3916,175.0,240.0,,Rural,N
LP000011,Male,No,1,Graduate,No,12843,552,128.0,240.0,1.0,Semiurban,N
LP000012,Female,No,0,Not Graduate,,17672,900,198.0,300.0,1.0,Rural,Y
LP000013,Female,No,0,Not Graduate,No,31167,3093,168.0,180.0,0.0,Urban,Y
LP000014,Male,Yes,,Graduate,No,43513,2766,66.0,240.0,1.0,Rural,Y
LP000015,Male,Yes,0,Graduate,No,16683,1936,100.0,360.0,1.0,Semiurban,Y
LP000016,Male,Yes,,Not Graduate,No,9371,3772,83.0,240.0,1.0,Semiurban,N
LP000017,Male,Yes,2,Graduate,No,30675,1791,201.0,180.0,,Semiurban,Y
LP000018,Male,Yes,3+,Graduate,No,8170,6229,114.0,180.0,1.0,Semiurban,Y
LP000019,Male,Yes,1,Graduate,Yes,3727,140,181.0,480.0,1.0,Urban,Y
LP000020,Male,Yes,0,Graduate,No,28316,1020,258.0,180.0,,Semiurban,N
LP000021,Female,Yes,0,Not Graduate,,38527,970,189.0,300.0,1.0,Rural,Y
LP000022,Male,Yes,0,Graduate,No,6922,843,129.0,360.0,0.0,Semiurban,Y
LP000023,,No,0,Graduate,No,64129,1992,112.0,480.0,0.0,Semiurban,N
