Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP006643,Male,No,3+,Graduate,No,5746,988,243.0,300.0,0.0,Rural,N
LP003531,Male,No,0,Not Graduate,No,12834,273,105.0,240.0,1.0,Rural,Y
LP001819,Female,No,,Graduate,No,5914,11557,164.0,360.0,1.0,Semiurban,Y
LP008269,Female,Yes,1,Graduate,Yes,43710,290,111.0,360.0,1.0,Urban,Y
LP009120,Female,No,1,Graduate,Yes,6958,1040,,180.0,1.0,Semiurban,Y
LP005326,Male,,,Graduate,No,8433,7214,110.0,360.0,1.0,Semiurban,Y
LP007715,Male,Yes,1,Graduate,Yes,11453,696,241.0,240.0,1.0,Urban,Y
LP002699,,No,0,Graduate,No,16005,247,88.0,360.0,1.0,Urban,Y
LP002766,Female,Yes,1,Graduate,No,20342,3216,77.0,300.0,1.0,Rural,Y
LP009326,Female,No,0,Not Graduate,No,29997,759,,360.0,,Urban,Y
LP004040,Male,Yes,3+,Graduate,No,12909,140,184.0,,0.0,Semiurban,N
LP004512,Male,No,1,Graduate,No,15643,580,46.0,240.0,,Semiurban,N
LP002676,Male,,1,Not Graduate,No,11709,1134,187.0,180.0,1.0,Semiurban,N
LP001332,Female,Yes,0,Not Graduate,Yes,17441,597,231.0,,1.0,Urban,Y
LP006563,Male,No,1,Graduate,Yes,9062,281,201.0,360.0,1.0,Rural,Y
LP000370,Male,Yes,0,Not Graduate,Yes,5914,245,97.0,360.0,1.0,Urban,Y
LP008680,Male,No,0,Graduate,No,7659,967,173.0,300.0,0.0,Semiurban,Y
LP005114,Female,Yes,,Graduate,No,25498,2276,196.0,480.0,1.0,Urban,Y
LP003898,Female,,1,Graduate,No,20901,9642,214.0,240.0,1.0,Semiurban,Y
LP001127,Male,No,0,Graduate,No,42443,403,204.0,360.0,1.0,Semiurban,Y
LP001611,Female,No,2,Graduate,No,30924,400,129.0,240.0,0.0,Semiurban,N
LP005906,,Yes,0,Graduate,No,8737,1369,99.0,360.0,1.0,Urban,Y
LP001430,Female,Yes,1,Graduate,No,13678,1547,141.0,300.0,1.0,Urban,Y
LP002724,Male,No,0,Graduate,No,7635,1949,64.0,360.0,1.0,Rural,Y
LP001741,Female,Yes,0,Graduate,No,45574,698,122.0,240.0,1.0,Urban,Y
LP004476,Male,Yes,1,Graduate,No,15616,243,141.0,300.0,0.0,Urban,N
LP009933,Male,Yes,3+,Not Graduate,No,8108,1287,133.0,360.0,1.0,Rural,Y
LP001727,Male,Yes,1,Graduate,No,3806,7962,194.0,360.0,1.0,Rural,Y
LP009857,Male,Yes,0,Graduate,No,133957,611,140.0,480.0,1.0,Urban,Y
LP007861,Male,No,0,Graduate,No,12345,333,245.0,480.0,1.0,Rural,Y
LP007486,Female,Yes,1,Graduate,No,14345,6439,159.0,360.0,1.0,Urban,Y
LP004733,Female,Yes,1,Graduate,No,28446,244,,360.0,1.0,Rural,Y
LP003604,Male,Yes,2,Graduate,Yes,10652,485,168.0,360.0,1.0,Semiurban,N
LP006598,Male,Yes,1,Graduate,No,30958,537,191.0,300.0,1.0,Semiurban,Y
LP001676,Male,Yes,2,Not Graduate,Yes,13428,407,,120.0,1.0,Rural,N
LP005694,Male,Yes,1,Graduate,,13437,3358,151.0,180.0,0.0,Urban,Y
LP001431,Male,Yes,3+,Graduate,No,14258,445,178.0,360.0,1.0,Urban,N
LP007566,Female,Yes,0,Not Graduate,,25252,533,242.0,300.0,1.0,Semiurban,Y
LP001235,Female,Yes,2,Graduate,No,12731,890,86.0,360.0,1.0,Semiurban,Y
LP003085,Female,Yes,1,Graduate,No,7096,205,66.0,240.0,1.0,Rural,Y
LP008441,Male,Yes,2,Graduate,No,8937,2933,152.0,360.0,1.0,Urban,N
LP004000,Male,No,1,Not Graduate,No,2833,2422,-1.0,480.0,1.0,Urban,Y
LP000451,Female,No,2,Graduate,No,62316,936,138.0,360.0,1.0,Urban,Y
LP008653,Male,No,1,Graduate,No,5827,1378,215.0,120.0,1.0,Semiurban,N
LP001867,Male,Yes,,Graduate,No,21170,655,114.0,480.0,0.0,Rural,Y
LP004876,Female,Yes,0,Graduate,No,6151,1371,169.0,360.0,1.0,Rural,N
LP004820,Male,Yes,1,Graduate,No,11447,29,147.0,360.0,1.0,Urban,N
LP000671,Male,No,0,Graduate,No,21883,6014,134.0,300.0,1.0,Urban,Y
LP007662,Female,Yes,2,Not Graduate,No,18779,839,150.0,240.0,0.0,Semiurban,Y
LP004901,Male,Yes,2,Not Graduate,No,8878,1500,301.0,360.0,1.0,Urban,N
LP006993,Male,Yes,2,Not Graduate,No,10462,193,130.0,240.0,0.0,Semiurban,Y
LP008873,Female,Yes,1,Not Graduate,Yes,8373,2535,184.0,120.0,1.0,Rural,N
LP005761,Female,Yes,2,Graduate,No,18317,256,173.0,360.0,1.0,Semiurban,Y
LP006808,Male,No,1,Graduate,No,20297,5342,170.0,300.0,0.0,Semiurban,Y
LP009029,Female,Yes,0,Not Graduate,,18766,1342,270.0,240.0,1.0,Rural,Y
LP001663,Female,Yes,0,Graduate,No,16515,1751,191.0,300.0,1.0,Rural,Y
LP003517,Male,Yes,1,Not Graduate,No,19684,6421,184.0,300.0,1.0,Urban,Y
LP009467,Female,No,0,Not Graduate,No,26156,137,156.0,360.0,1.0,Urban,Y
LP001798,Male,Yes,3+,Graduate,No,18134,303,161.0,300.0,1.0,Rural,Y
LP003096,,No,0,Not Graduate,Yes,9501,599,162.0,,1.0,Urban,N
LP002284,Male,Yes,1,Graduate,Yes,8335,1692,191.0,360.0,1.0,Urban,N
LP002194,Male,Yes,0,Graduate,No,3208,11741,127.0,180.0,1.0,Urban,Y
LP007003,Female,No,3+,Graduate,No,19095,2852,266.0,120.0,1.0,Rural,Y
LP004368,Male,No,2,Graduate,No,17756,1973,183.0,180.0,,Semiurban,N
LP005185,Female,Yes,0,Graduate,No,5964,894,141.0,180.0,0.0,Urban,Y
LP002732,Male,Yes,0,Graduate,No,8924,419,100.0,300.0,1.0,Semiurban,Y
LP008164,Male,No,0,Graduate,No,9949,922,151.0,360.0,1.0,Urban,Y
LP003066,,Yes,0,Graduate,Yes,10265,661,176.0,360.0,1.0,Semiurban,Y
LP003825,Male,Yes,0,Graduate,No,7309,2984,171.0,300.0,1.0,Urban,Y
LP001606,Male,No,2,Not Graduate,No,21886,1683,145.0,480.0,1.0,Semiurban,Y
LP007104,Female,Yes,2,Not Graduate,No,7674,1011,124.0,360.0,1.0,Urban,Y
LP006561,Male,Yes,0,Graduate,No,8250,2209,111.0,,1.0,Rural,N
LP005868,Male,No,2,Graduate,Yes,13497,1985,190.0,480.0,1.0,Semiurban,Y
LP002634,Male,Yes,3+,Graduate,No,6522,3373,170.0,480.0,1.0,Semiurban,N
LP000528,Male,Yes,3+,Graduate,No,20555,887,225.0,,1.0,Rural,Y
LP009469,Male,Yes,1,Graduate,No,7515,280,129.0,360.0,1.0,Rural,Y
LP001415,Male,Yes,0,Not Graduate,No,31040,6370,117.0,120.0,0.0,Semiurban,Y
LP002220,Male,Yes,3+,Graduate,No,41631,311,191.0,480.0,1.0,Urban,Y
LP003358,Male,No,0,Graduate,Yes,7251,899,,240.0,1.0,Semiurban,Y
LP005991,Male,Yes,2,Not Graduate,No,6442,908,184.0,480.0,1.0,Urban,Y
LP005734,Male,Yes,1,Graduate,Yes,17613,2283,139.0,,1.0,Urban,Y
LP002343,Male,,1,Graduate,No,12286,1516,155.0,240.0,1.0,Semiurban,N
LP004086,Male,Yes,0,Graduate,No,9687,1192,190.0,360.0,1.0,Rural,N
LP008383,Female,No,1,Graduate,No,26757,132,,360.0,1.0,Rural,N
LP009351,,Yes,1,Not Graduate,Yes,20109,1035,150.0,480.0,1.0,Urban,Y
