movie_id,title,clean_title,year,genres
1,Toy Story (1995),Toy Story,1995,Animation|Children|Comedy
2,GoldenEye (1995),GoldenEye,1995,Action|Adventure|Thriller
3,Four Rooms (1995),Four Rooms,1995,Thriller
4,Get Shorty (1995),Get Shorty,1995,Action|Comedy|Drama
5,Copycat (1995),Copycat,1995,Crime|Drama|Thriller
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Drama
7,Twelve Monkeys (1995),Twelve Monkeys,1995,Drama|Sci-Fi
8,Babe (1995),Babe,1995,Children|Comedy|Drama
9,Dead Man Walking (1995),Dead Man Walking,1995,Drama
10,Richard III (1995),Richard III,1995,Drama|War
11,Seven (Se7en) (1995),Seven (Se7en),1995,Crime|Thriller
12,"Usual Suspects, The (1995)","Usual Suspects, The",1995,Crime|Thriller
13,Mighty Aphrodite (1995),Mighty Aphrodite,1995,Comedy
14,"Postino, Il (1994)","Postino, Il",1994,Drama|Romance
15,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,Drama
16,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995,Comedy|Romance
17,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,Action|Comedy|Crime|Horror|Thriller
18,"White Balloon, The (1995)","White Balloon, The",1995,Drama
19,Antonia's Line (1995),Antonia's Line,1995,Drama
20,Angels and Insects (1995),Angels and Insects,1995,Drama|Romance
21,Muppet Treasure Island (1996),Muppet Treasure Island,1996,Action|Adventure|Comedy|Musical|Thriller
22,Braveheart (1995),Braveheart,1995,Action|Drama|War
23,Taxi Driver (1976),Taxi Driver,1976,Drama|Thriller
24,Rumble in the Bronx (1995),Rumble in the Bronx,1995,Action|Adventure|Crime
25,"Birdcage, The (1996)","Birdcage, The",1996,Comedy
26,"Brothers McMullen, The (1995)","Brothers McMullen, The",1995,Comedy
27,Bad Boys (1995),Bad Boys,1995,Action
28,Apollo 13 (1995),Apollo 13,1995,Action|Drama|Thriller
29,Batman Forever (1995),Batman Forever,1995,Action|Adventure|Comedy|Crime
30,Belle de jour (1967),Belle de jour,1967,Drama
31,Crimson Tide (1995),Crimson Tide,1995,Drama|Thriller|War
32,Crumb (1994),Crumb,1994,Documentary
33,Desperado (1995),Desperado,1995,Action|Romance|Thriller
34,"Doom Generation, The (1995)","Doom Generation, The",1995,Comedy|Drama
35,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,Adventure|Children|Drama
36,Mad Love (1995),Mad Love,1995,Drama|Romance
37,Nadja (1994),Nadja,1994,Drama
38,"Net, The (1995)","Net, The",1995,Sci-Fi|Thriller
39,Strange Days (1995),Strange Days,1995,Action|Crime|Sci-Fi
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy
41,Billy Madison (1995),Billy Madison,1995,Comedy
42,Clerks (1994),Clerks,1994,Comedy
43,Disclosure (1994),Disclosure,1994,Drama|Thriller
44,Dolores Claiborne (1994),Dolores Claiborne,1994,Drama|Thriller
45,Eat Drink Man Woman (1994),Eat Drink Man Woman,1994,Comedy|Drama
46,Exotica (1994),Exotica,1994,Drama
47,Ed Wood (1994),Ed Wood,1994,Comedy|Drama
48,Hoop Dreams (1994),Hoop Dreams,1994,Documentary
49,I.Q. (1994),I.Q.,1994,Comedy|Romance
50,Star Wars (1977),Star Wars,1977,Action|Adventure|Romance|Sci-Fi|War
51,Legends of the Fall (1994),Legends of the Fall,1994,Drama|Romance|War|Western
52,"Madness of King George, The (1994)","Madness of King George, The",1994,Drama
53,Natural Born Killers (1994),Natural Born Killers,1994,Action|Thriller
54,Outbreak (1995),Outbreak,1995,Action|Drama|Thriller
55,"Professional, The (1994)","Professional, The",1994,Crime|Drama|Romance|Thriller
56,Pulp Fiction (1994),Pulp Fiction,1994,Crime|Drama
57,Priest (1994),Priest,1994,Drama
58,Quiz Show (1994),Quiz Show,1994,Drama
59,Three Colors: Red (1994),Three Colors: Red,1994,Drama
60,Three Colors: Blue (1993),Three Colors: Blue,1993,Drama
61,Three Colors: White (1994),Three Colors: White,1994,Drama
62,Stargate (1994),Stargate,1994,Action|Adventure|Sci-Fi
63,"Santa Clause, The (1994)","Santa Clause, The",1994,Children|Comedy
64,"Shawshank Redemption, The (1994)","Shawshank Redemption, The",1994,Drama
65,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,1993,Comedy|Drama
66,While You Were Sleeping (1995),While You Were Sleeping,1995,Comedy|Romance
67,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,1994,Comedy
68,"Crow, The (1994)","Crow, The",1994,Action|Romance|Thriller
69,Forrest Gump (1994),Forrest Gump,1994,Comedy|Romance|War
70,Four Weddings and a Funeral (1994),Four Weddings and a Funeral,1994,Comedy|Romance
71,"Lion King, The (1994)","Lion King, The",1994,Animation|Children|Musical
72,"Mask, The (1994)","Mask, The",1994,Comedy|Crime|Fantasy
73,Maverick (1994),Maverick,1994,Action|Comedy|Western
74,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill!,1965,Action|Comedy|Drama
75,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X,1994,Documentary
76,Carlito's Way (1993),Carlito's Way,1993,Crime|Drama
77,"Firm, The (1993)","Firm, The",1993,Drama|Thriller
78,Free Willy (1993),Free Willy,1993,Adventure|Children|Drama
79,"Fugitive, The (1993)","Fugitive, The",1993,Action|Thriller
80,Hot Shots! Part Deux (1993),Hot Shots! Part Deux,1993,Action|Comedy|War
81,"Hudsucker Proxy, The (1994)","Hudsucker Proxy, The",1994,Comedy|Romance
82,Jurassic Park (1993),Jurassic Park,1993,Action|Adventure|Sci-Fi
83,Much Ado About Nothing (1993),Much Ado About Nothing,1993,Comedy|Romance
84,Robert A. Heinlein's The Puppet Masters (1994),Robert A. Heinlein's The Puppet Masters,1994,Horror|Sci-Fi
85,"Ref, The (1994)","Ref, The",1994,Comedy
86,"Remains of the Day, The (1993)","Remains of the Day, The",1993,Drama
87,Searching for Bobby Fischer (1993),Searching for Bobby Fischer,1993,Drama
88,Sleepless in Seattle (1993),Sleepless in Seattle,1993,Comedy|Romance
89,Blade Runner (1982),Blade Runner,1982,Film-Noir|Sci-Fi
90,So I Married an Axe Murderer (1993),So I Married an Axe Murderer,1993,Comedy|Romance|Thriller
91,"Nightmare Before Christmas, The (1993)","Nightmare Before Christmas, The",1993,Children|Comedy|Musical
92,True Romance (1993),True Romance,1993,Action|Crime|Romance
93,Welcome to the Dollhouse (1995),Welcome to the Dollhouse,1995,Comedy|Drama
94,Home Alone (1990),Home Alone,1990,Children|Comedy
95,Aladdin (1992),Aladdin,1992,Animation|Children|Comedy|Musical
96,Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day,1991,Action|Sci-Fi|Thriller
97,Dances with Wolves (1990),Dances with Wolves,1990,Adventure|Drama|Western
98,"Silence of the Lambs, The (1991)","Silence of the Lambs, The",1991,Drama|Thriller
99,Snow White and the Seven Dwarfs (1937),Snow White and the Seven Dwarfs,1937,Animation|Children|Musical
100,Fargo (1996),Fargo,1996,Crime|Drama|Thriller
101,Heavy Metal (1981),Heavy Metal,1981,Action|Adventure|Animation|Horror|Sci-Fi
102,"Aristocats, The (1970)","Aristocats, The",1970,Animation|Children
103,All Dogs Go to Heaven 2 (1996),All Dogs Go to Heaven 2,1996,Animation|Children|Musical
104,Theodore Rex (1995),Theodore Rex,1995,Comedy
105,Sgt. Bilko (1996),Sgt. Bilko,1996,Comedy
106,Diabolique (1996),Diabolique,1996,Drama|Thriller
107,Moll Flanders (1996),Moll Flanders,1996,Drama
108,Kids in the Hall: Brain Candy (1996),Kids in the Hall: Brain Candy,1996,Comedy
109,Mystery Science Theater 3000: The Movie (1996),Mystery Science Theater 3000: The Movie,1996,Comedy|Sci-Fi
110,Operation Dumbo Drop (1995),Operation Dumbo Drop,1995,Action|Adventure|Comedy|War
111,"Truth About Cats & Dogs, The (1996)","Truth About Cats & Dogs, The",1996,Comedy|Romance
112,Flipper (1996),Flipper,1996,Adventure|Children
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","Horseman on the Roof, The (Hussard sur le toit, Le)",1995,Drama
