user_id,movie_id,rating
189,179,5
14,922,4
863,895,5
303,1153,3
465,169,4
763,515,4
1,271,2
142,463,3
29,748,2
603,56,4
871,347,5
301,98,4
398,483,5
923,1001,1
387,1,4
579,603,5
393,613,4
540,220,3
299,393,2
922,174,5
181,123,2
142,294,3
846,177,3
433,358,2
77,176,4
267,1035,4
593,25,3
234,243,1
327,357,4
72,521,4
95,491,4
16,172,5
624,544,4
556,173,3
793,1365,2
385,304,3
619,293,3
585,919,2
181,982,1
435,227,4
653,177,3
633,778,2
193,269,4
716,1039,5
846,565,2
896,281,2
354,498,4
205,268,2
506,665,2
634,756,3
833,578,1
781,483,5
195,678,3
425,22,3
572,9,5
269,514,4
804,154,3
96,79,4
422,219,4
654,431,4
497,510,3
327,219,4
113,742,3
405,161,1
655,708,3
932,154,5
75,1059,1
748,208,4
586,672,2
529,260,4
864,596,4
524,781,1
776,866,3
354,512,3
56,94,4
326,720,2
221,763,4
27,370,4
484,300,4
365,1420,2
220,340,4
496,174,4
442,276,4
864,178,4
145,411,2
121,515,4
936,3,4
339,380,3
778,219,3
532,242,4
328,1042,3
297,258,5
590,111,3
605,873,3
757,250,4
621,100,5
450,305,4
400,748,2
543,664,4
894,405,3
498,89,5
58,61,5
58,514,5
145,182,5
173,328,5
838,143,5
579,520,4
145,1292,1
482,328,4
173,329,4
299,1018,3
588,217,4
926,258,4
401,127,1
213,214,5
351,245,3
731,694,5
286,924,4
244,628,4
550,50,5
334,1011,4
537,206,1
362,347,5
758,452,3
462,271,1
130,118,4
80,886,4
930,190,4
517,105,1
637,1284,1
194,402,3
216,27,3
336,1188,3
846,732,4
551,235,1
799,286,5
457,151,5
351,327,5
840,52,3
437,91,3
119,52,3
269,665,1
932,1512,5
514,367,5
533,724,4
924,129,4
197,688,1
362,294,3
500,582,4
383,496,5
340,143,5
505,501,2
90,171,2
243,225,3
341,877,3
82,294,4
551,209,5
276,1006,3
343,536,4
456,490,4
936,1129,5
616,873,3
145,393,5
524,476,3
174,723,5
26,343,3
237,514,4
889,480,5
265,628,4
343,943,4
363,537,1
345,518,4
843,196,2
238,845,3
894,690,4
293,616,3
887,421,5
410,315,4
5,385,4
101,280,3
579,88,4
444,751,4
83,139,3
360,134,5
660,249,2
533,1147,3
407,215,3
88,261,5
379,63,2
374,504,4
393,623,3
747,1194,5
870,781,3
479,455,4
130,746,5
119,132,5
277,25,4
82,678,1
460,283,3
925,98,4
264,524,3
249,198,5
103,487,4
13,400,4
709,363,3
280,126,3
88,286,5
886,405,3
605,340,4
328,68,3
593,781,3
807,451,5
683,299,3
543,778,4
8,687,1
110,658,3
145,118,3
430,302,4
505,228,2
500,568,1
396,151,3
234,1458,4
707,216,3
642,931,4
427,874,5
727,108,3
887,1047,5
320,452,3
658,603,4
406,735,3
547,333,4
426,492,5
286,527,4
883,367,5
276,122,3
870,653,4
536,82,4
863,1234,3
887,1,5
711,1190,3
728,289,3
594,222,4
109,101,1
235,496,4
467,108,4
22,511,4
909,300,5
500,244,3
71,65,5
848,435,3
720,1176,5
287,246,4
18,269,5
201,665,2
303,1011,2
280,323,2
111,304,4
130,929,4
293,480,5
343,286,4
693,53,4
293,765,3
582,410,3
313,208,3
43,50,4
416,268,4
112,984,3
890,157,4
407,436,3
942,197,5
429,627,2
880,732,4
561,183,5
940,294,4
174,724,5
82,240,1
96,423,5
805,12,4
657,282,3
887,562,5
181,740,2
405,1074,3
666,182,4
922,382,4
666,192,4
525,276,5
564,127,4
288,276,4
763,1129,4
1,258,5
409,9,4
201,176,4
395,286,4
197,770,3
804,423,3
457,54,4
44,625,3
640,47,4
165,258,5
704,381,3
405,661,3
505,95,4
459,696,4
210,243,2
802,445,3
606,97,5
3,353,1
374,164,4
291,95,4
738,216,3
921,760,2
936,295,3
502,313,4
600,82,5
846,425,5
867,196,3
642,541,5
321,419,4
201,1163,1
373,399,3
472,465,3
405,726,1
291,834,3
303,582,4
119,181,4
903,1098,5
406,42,5
148,1012,4
277,221,4
932,54,4
5,397,2
158,125,3
181,871,2
201,895,3
393,577,4
157,1258,5
585,584,3
881,322,4
90,1201,5
280,663,4
197,22,5
747,726,2
409,528,4
773,354,2
87,414,3
45,151,2
805,541,3
472,378,4
162,117,4
497,405,3
668,333,3
201,1398,4
566,423,2
342,237,4
301,77,3
798,158,2
437,15,4
323,319,2
323,180,5
182,181,5
497,1210,4
560,654,5
905,1011,3
650,622,3
878,692,4
13,732,5
540,294,4
437,655,4
373,229,4
374,483,3
600,174,4
829,319,4
860,287,3
543,735,4
914,216,3
521,73,3
924,82,4
102,566,2
867,603,5
181,117,2
126,303,3
181,932,1
533,109,2
389,1286,5
201,1098,2
774,1016,3
694,181,5
225,566,4
1,231,1
621,585,4
405,778,1
923,9,4
450,530,3
559,174,4
322,479,5
903,64,5
548,14,1
13,853,1
532,1,5
328,232,3
677,740,1
727,248,5
627,546,3
201,77,2
7,608,4
10,129,4
802,299,4
921,8,3
69,117,4
286,728,3
305,475,4
823,692,4
130,47,3
158,1,4
655,23,3
831,326,4
60,1126,4
484,679,2
653,496,2
577,62,3
92,190,4
268,597,2
622,542,2
301,373,4
15,473,1
553,525,4
114,153,3
618,1032,2
709,92,4
178,809,4
253,132,5
864,466,4
416,217,4
931,313,4
747,235,5
401,1,2
702,687,1
334,408,4
606,477,4
416,443,5
10,652,3
532,266,4
308,396,4
716,208,5
234,286,3
880,181,5
814,201,2
276,92,4
56,623,3
894,281,3
916,1,4
653,176,3
75,222,5
275,662,3
299,167,3
130,761,3
387,1014,3
343,236,5
129,903,2
232,313,3
318,174,4
429,412,4
458,435,4
890,228,4
881,642,4
279,132,3
464,482,5
1,192,4
256,12,5
233,100,4
450,457,2
364,678,4
716,1203,2
222,17,2
863,362,1
429,768,3
378,485,4
527,211,4
928,114,5
709,98,4
560,151,3
276,1221,3
250,174,3
313,385,4
270,183,5
896,436,3
263,543,5
554,692,4
798,748,5
792,1,4
429,182,4
889,183,3
14,186,4
579,732,4
1,23,4
564,272,3
419,269,4
397,665,3
653,619,3
214,182,4
276,974,2
237,179,4
622,449,2
320,238,4
181,319,3
1,122,3
397,223,4
383,286,5
380,923,3
554,204,5
70,383,2
328,44,3
514,179,4
417,101,3
198,629,4
507,269,2
942,750,4
399,568,2
354,1241,4
327,156,4
698,988,1
655,1266,3
111,258,4
385,215,2
885,662,3
305,251,5
449,170,4
314,731,4
318,795,2
43,280,3
673,301,3
130,179,4
314,1028,3
23,549,3
13,416,3
527,1333,3
752,258,3
758,66,3
338,479,5
468,58,4
249,746,5
834,151,4
586,174,4
592,479,4
497,684,3
13,67,1
137,405,5
232,117,3
533,298,4
467,269,4
450,1119,4
387,217,3
392,333,4
828,116,4
308,85,4
92,794,3
724,271,2
782,1143,2
39,306,3
284,262,4
361,194,4
272,134,5
570,243,1
453,56,5
387,205,5
653,809,3
150,288,4
756,435,3
611,300,5
201,1208,4
21,322,3
417,496,3
707,499,4
436,218,4
913,8,2
460,20,4
418,258,5
658,735,3
761,148,5
776,440,2
6,481,5
301,651,5
644,457,4
796,178,3
752,327,5
574,327,3
328,347,5
379,736,4
90,721,3
292,115,4
256,595,4
648,323,5
99,210,5
506,363,3
63,1011,1
125,657,3
836,42,3
894,299,3
106,244,4
843,164,3
753,483,5
748,4,4
288,180,5
326,8,4
747,475,5
125,388,2
236,1039,2
276,1220,4
291,173,5
345,315,5
327,188,5
387,99,5
562,185,5
880,1053,3
699,15,1
200,1091,4
303,847,4
750,683,1
892,132,5
167,554,1
903,521,5
280,1133,3
783,292,4
885,953,3
368,379,4
303,455,3
276,300,4
616,347,4
305,181,4
288,272,5
405,1574,1
406,674,4
773,172,5
776,474,5
646,683,3
933,12,4
313,333,4
416,526,5
323,993,4
234,44,3
94,121,2
234,133,3
56,869,3
92,826,2
276,222,4
379,93,3
