Store,Date,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,DayOfYear,Quarter,Month_sin,Month_cos,Week_sin,Week_cos
1,2010-02-05,64.4,3.422,208.898,9.395,2010,2,5,36,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564
1,2010-02-12,64.29,3.519,210.561,10.327,2010,2,6,43,1,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011
1,2010-02-19,68.93,4.159,213.468,9.462,2010,2,7,50,1,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953
1,2010-02-26,62.11,3.779,207.817,9.22,2010,2,8,57,1,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559
1,2010-03-05,70.3,3.811,210.917,9.877,2010,3,9,64,1,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686
1,2010-03-12,63.08,3.855,207.874,10.22,2010,3,10,71,1,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557
1,2010-03-19,73.03,3.798,211.42,10.026,2010,3,11,78,1,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804
1,2010-03-26,76.57,3.892,216.255,9.719,2010,3,12,85,1,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323
1,2010-04-02,79.02,4.02,211.549,10.541,2010,4,13,92,2,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766366e-16
1,2010-04-09,74.92,3.908,209.338,10.414,2010,4,14,99,2,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288
1,2010-04-16,79.41,3.914,210.871,9.809,2010,4,15,106,2,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575
1,2010-04-23,76.03,3.572,209.062,9.119,2010,4,16,113,2,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545
1,2010-04-30,70.94,4.009,208.988,9.083,2010,4,17,120,2,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685
1,2010-05-07,64.54,3.987,211.943,9.537,2010,5,18,127,2,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557
