Store,Type,Size
1,A,122183
2,A,211768
3,A,108329
4,C,190145
5,A,203763
6,B,85823
7,C,67733
8,A,56916
9,A,81896
10,B,215958
11,A,115601
12,B,54587
13,C,192298
14,A,148388
15,B,142749
16,B,36677
17,C,58642
18,C,163085
19,A,147756
20,C,195936
21,A,110524
22,B,59845
23,B,106025
24,C,185706
25,A,172434
26,A,40368
27,C,132327
28,C,164918
29,B,94371
30,B,160137
31,A,104883
32,B,164244
33,C,162706
34,A,159054
35,A,74144
36,B,49490
37,A,110503
38,B,79604
39,B,176571
40,B,64030
41,C,70161
42,C,89793
43,C,72492
44,C,111654
45,C,175872
